Date,Open,High,Low,Close,Adj Close,Volume,Return,MA_20,STD_20,Z_Score,MA_10,Bollinger_Width,Lagged_Return_1
1928-01-27,17.690001,17.690001,17.690001,17.690001,17.690001,0,0.0034034034828929194,17.52599975,0.15835987663176798,1.0356237545028413,17.4899997,0.6334395065270755,0.006278481735159991
1928-01-30,17.49,17.49,17.49,17.49,17.49,0,-0.011305878388587987,17.51749975,0.15532208895164423,-0.17704983357880197,17.5099996,0.6212883558065769,0.0034034034828929194
1928-01-31,17.57,17.57,17.57,17.57,17.57,0,0.004574042309891446,17.50799975,0.14518934642838807,0.42703029888340327,17.5369997,0.5807573857135537,-0.011305878388587987
1928-02-01,17.530001,17.530001,17.530001,17.530001,17.530001,0,-0.002276550939100841,17.49849985,0.13654657794292577,0.23069893419931647,17.563999799999998,0.5461863117717058,0.004574042309891446
1928-02-02,17.629999,17.629999,17.629999,17.629999,17.629999,0,0.0057043921446440216,17.50249985,0.1392790185223715,0.9154225191465046,17.5889998,0.5571160740894854,-0.002276550939100841
1928-02-03,17.4,17.4,17.4,17.4,17.4,0,-0.013045888431417518,17.489499849999998,0.13589744140160417,-0.6585837752125832,17.580999799999997,0.5435897656064199,0.0057043921446440216
1928-02-06,17.450001,17.450001,17.450001,17.450001,17.450001,0,0.002873620689655354,17.486999899999997,0.1361537613783143,-0.27174350253308377,17.562,0.5446150455132539,-0.013045888431417518
1928-02-07,17.440001,17.440001,17.440001,17.440001,17.440001,0,-0.0005730658697384872,17.4904999,0.13386840396287777,-0.37722792313266423,17.535000200000002,0.5354736158515081,0.002873620689655354
1928-02-08,17.49,17.49,17.49,17.49,17.49,0,0.0028669149732274413,17.4974999,0.12973135603030975,-0.05781100444406387,17.5320002,0.5189254241212424,-0.0005730658697384872
1928-02-09,17.549999,17.549999,17.549999,17.549999,17.549999,0,0.0034304745568898287,17.5014999,0.13007166567376302,0.37286444936934204,17.5240002,0.5202866626950495,0.0028669149732274413
1928-02-10,17.540001,17.540001,17.540001,17.540001,17.540001,0,-0.0005696866421474045,17.49949995,0.12910505697889424,0.31370614713117395,17.5090002,0.5164202279155745,0.0034304745568898287
1928-02-14,17.440001,17.440001,17.440001,17.440001,17.440001,0,-0.005701253950897822,17.50699995,0.12035463256405547,-0.5566794445103204,17.504000299999998,0.48141853025622083,-0.0005696866421474045
1928-02-15,17.4,17.4,17.4,17.4,17.4,0,-0.0022936351895851415,17.512,0.11316478437077529,-0.9897071834029473,17.4870003,0.4526591374831028,-0.005701253950897822
1928-02-16,17.35,17.35,17.35,17.35,17.35,0,-0.002873563218390607,17.5165,0.10403797383951423,-1.600377187822179,17.4690002,0.4161518953580554,-0.0022936351895851415
